url,title,meal_type,kcal,fat,saturates,carbs,sugars,fibre,protein,salt,ingredients
https://www.bbcgoodfood.com/recipes/creamy-salmon-chunky-ratatouille,Creamy Salmon Chunky Ratatouille,batch cooking,449.0,25.0g,5.0g,17.0g,13.0g,6.0g,38.0g,0.8g,"1 tbsp olive oil, 2 aubergines cubed, 6 garlic cloves sliced, family pack mixed peppers (5 total), deseeded and cut into large chunks, 3 large  courgettes cut into chunky batons, 680g bottle passata, 300ml vegetable stock, small handful basil leaves most chopped, a few leaves left whole to serve"
https://www.bbcgoodfood.com/recipes/creamy-salmon-leek-potato-traybake,Creamy Salmon Leek Potato Traybake,dinner,696.0,50.0g,17.0g,19.0g,3.0g,4.0g,39.0g,0.45g,"250g baby potatoes thickly sliced, 2 tbsp olive oil, 1 leek halved, washed and sliced, 1 garlic clove crushed, 70ml double cream, 1 tbsp capers plus extra to serve, 1 tbsp chives plus extra to serve, 2 skinless salmon fillets, mixed rocket salad to serve (optional)"
https://www.bbcgoodfood.com/recipes/creamy-tofu-curry-with-homemade-roti,Creamy Tofu Curry With Homemade Roti,dinner,817.0,59.0g,32.0g,42.0g,16.0g,9.0g,24.0g,2.1g,"400g firm tofu, 2 tbsp cornflour, 4 tbsp vegetable oil, 5 tbsp tikka or madras paste, 2 white onions thinly sliced, 1 tbsp tomato purée, 500g tomato passata, 200g creamed coconut, 15g coriander roughly chopped (optional)"
https://www.bbcgoodfood.com/recipes/crispy-chicken-strips,Crispy Chicken Strips,quick and easy,229.0,7.0g,1.0g,18.0g,9.0g,3.0g,21.0g,0.7g,"150ml buttermilk or skimmed milk mixed with 2 tsp lemon juice then left for 5 mins, 2 large skinless chicken breasts or 4 small pieces pork escalope, 50g panko breadcrumbs, 1 tbsp rapeseed oil"
https://www.bbcgoodfood.com/recipes/crispy-meatball-pizza,Crispy Meatball Pizza,quick and easy,631.0,30.0g,11.0g,54.0g,7.0g,3.0g,34.0g,2.0g,"400g shop-bought or homemade pizza dough defrosted if frozen, plain flour for dusting, 200g leftover sauce (see below), 150g grated mozzarella, 20 leftover meatballs whole or roughly chopped (see below), 1 tsp dried oregano, 2 tsp fennel seeds, ½ tsp chilli flakes (optional), 2 tbsp olive oil plus a drizzle, small handful of green olives roughly chopped, green salad to serve"
https://www.bbcgoodfood.com/recipes/crispy-sesame-lemon-chicken,Crispy Sesame Lemon Chicken,quick and easy,280.0,8.0g,1.0g,26.0g,7.0g,1.0g,26.0g,1.05g,"600g chicken breast fillets cut into 2cm pieces, 2tbsp cornflour, 5tbsp plain flour, 1tsp baking powder, large pinch of white pepper, 1 egg beaten, 2tbsp sunflower or vegetable oil for frying, 2 spring onions finely sliced, to serve, cooked noodles, to serve (optional)"
https://www.bbcgoodfood.com/recipes/crispy-shredded-chicken,Crispy Shredded Chicken,dinner,506.0,19.0g,1.0g,40.0g,18.0g,4.0g,42.0g,3.66g,"320g pack chicken mini breast fillets, 2½ tbsp light soy sauce, vegetable oil for frying, 1 red pepper deseeded and thinly sliced, 1 green pepper deseeded and thinly sliced, 3 tbsp cornflour, 3 tbsp sweet chilli sauce, 1 tbsp garlic and ginger paste, 1 tbsp sesame oil, 2 spring onions trimmed and finely sliced"
https://www.bbcgoodfood.com/recipes/crusty-cheddar-pies,Crusty Cheddar Pies,batch cooking,498.0,25.0g,15.0g,45.0g,9.0g,7.0g,23.0g,1.2g,"500g slim young  leek thickly sliced, 300g broccoli cut into small florets, 3 celery sticks, de-stringed and sliced, 1 ½kg floury potato such as King Edward, cut into even-sized chunks, 85g butter, 170g pot 0% fat Greek yogurt, 850ml semi-skimmed milk, 75g plain flour, 2 tsp English mustard, 1 tsp wholegrain mustard, 300g pack mature cheddar finely grated, handful frozen peas"
https://www.bbcgoodfood.com/recipes/curried-fishcakes,Curried Fishcakes,batch cooking,594.0,12.0g,2.0g,77.0g,3.0g,6.0g,42.0g,1.1g,"500g Maris Piper potatoes peeled and cut into 3cm chunks, 2 tbsp olive oil, 3 large garlic cloves crushed, 1 thumb-sized piece ginger peeled and grated, 1 tsp black mustard seeds, 2-3 heaped tbsp medium curry powder, 4 skin-on cod fillets, 400ml semi-skimmed milk, 1 small lemon zested and juiced, 150g plain flour, 2 medium eggs beaten, 150g panko breadcrumbs, salad leaves and slaw, to serve"
https://www.bbcgoodfood.com/recipes/curried-prawn-green-bean-pie,Curried Prawn Green Bean Pie,dinner,560.0,20.0g,6.0g,65.0g,13.0g,8.0g,26.0g,1.0g,"3 tbsp olive oil, 1 onion finely sliced, 40g plain flour, 3 tbsp medium curry paste, 600ml milk, 150g green beans cut into 3cm pieces, 1.2kg Maris Piper potatoes cut into 2cm chunks, 1 heaped tsp turmeric, 1 tsp nigella seeds, 300g raw king prawns, ½ small bunch coriander finely chopped, 2 tbsp half-fat crème fraîche"
