url,title,kcal,fat,saturates,carbs,sugars,fibre,protein,salt,ingredients
https://www.bbcgoodfood.com/recipes/green-chicken-salad,Green Chicken Salad,371,30.0g,5.0g,6.0g,5.0g,2.0g,19g,0.7g,"1 small red onion finely chopped, 1 lemon juiced, 1 small rotisserie chicken around 250g meat, picked and shredded, 4 sticks celery finely chopped, 4 spring onions finely sliced, ½ large cucumber deseeded and finely chopped, 6 cornichons roughly chopped, 1 green pepper deseeded and cut into 1/2cm cubes, large handful of soft herbs (we used dill and parsley), roughly chopped, toasted sourdough to serve"
https://www.bbcgoodfood.com/recipes/halloumi-bulghar-chickpea-rocket-salad,Halloumi Bulghar Chickpea Rocket Salad,531,27.0g,12.0g,47.0g,1.0g,3.0g,23g,2.3g,"200g bulgur wheat, 250g pack halloumi cheese cut into 8 slices, 5 tbsp olive oil, zest and juice 2  limes, 1 tsp sweet paprika, 400g can  chickpea drained and rinsed, 70g bag rocket"
https://www.bbcgoodfood.com/recipes/healthier-veggie-carbonara,Healthier Veggie Carbonara,552,20.0g,9.0g,59.0g,4.0g,8.0g,29g,0.8g,"4 medium courgettes (use a mix of yellow and green if you can get them), 300g spaghetti, 3 large egg yolks, 160g vegetarian parmesan-style cheese, 1 tbsp olive oil, small bunch fresh lemon thyme or thyme, leaves picked, 200g chestnut mushrooms roughly chopped, 4 garlic cloves crushed, small bunch flat-leaf parsley chopped (optional), ½ lemon zested and juiced"
https://www.bbcgoodfood.com/recipes/help-yourself-tuna-rice-salad,Help Yourself Tuna Rice Salad,328,10.0g,2.0g,49.0g,5.0g,2.0g,14g,0.22g,"approx 900g/2lb cold cooked rice (about 400g/14oz uncooked rice), 400g tuna in springwater, 200g frozen petits pois defrosted, 2 red peppers peeled with a potato peeler, deseeded and diced, 3 tomatoes chopped into small chunks, 5 spring onions finely sliced, bunch flat-leaf parsley chopped, large handful stoned green olives roughly chopped (optional), 4 tbsp mayonnaise, juice 1 lemon, 2 tbsp extra-virgin olive oil"
https://www.bbcgoodfood.com/recipes/hob-table-moussaka,Hob Table Moussaka,529,39.0g,16.0g,11.0g,0.0g,3.0g,35g,2.31g,"2 tbsp olive oil, 1 large onion finely chopped, 2 garlic cloves finely chopped, 500g minced lamb, 400g/14oz can chopped plum tomatoes, 2 tbsp tomato purée, 2 tsp ground cinnamon, 200g/7oz jar chargrilled aubergines in olive oil, drained and chopped, 200g/7oz pack feta cheese crumbled, 3 tbsp fresh mint chopped"
https://www.bbcgoodfood.com/recipes/hoisin-mackerel-pancakes,Hoisin Mackerel Pancakes,393,22.0g,4.0g,24.0g,9.0g,3.0g,24g,0.9g,"3 mackerel fillets, all bones removed, cut into finger-length strips, 2 tbsp hoisin sauce plus extra for dipping, 4 spring onions, ½ cucumber, 2 Little Gem lettuces, 1 tsp vegetable oil, 10 Chinese pancakes (available from Waitrose, Asian supermarkets or Chinese takeaways)"
https://www.bbcgoodfood.com/recipes/honey-chicken,Honey Chicken,333,6.0g,0.1g,35.0g,26.0g,1.0g,36g,3.28g,"4 chicken breasts (about 600g), trimmed and cut into 2-3cm cubes, 2 tbsp plain flour, 40g piece of ginger peeled and finely grated, 4 garlic cloves finely chopped, 6 tbsp soy sauce, 5 tbsp honey, ½-1 lemon, juiced, 1 tbsp sunflower, vegetable, rice bran or rapeseed oil, cooked rice and steamed broccoli, to serve (optional)"
https://www.bbcgoodfood.com/recipes/honey-sesame-orange-king-prawns,Honey Sesame Orange King Prawns,444,13.0g,2.0g,66.0g,14.0g,2.0g,15g,1.7g,"2 tsp sesame oil, 1 large orange zested and juiced, 3 tbsp honey, 2 tbsp low-salt soy sauce, 1 tbsp rice vinegar, 3 tbsp cornflour, 2 tbsp sesame seeds, generous pinch of Chinese five-spice powder, 300g raw king prawns, 3 tbsp sunflower or vegetable oil, 1 garlic clove thinly sliced, 2 spring onions sliced, 200g long-grain rice cooked, to serve"
https://www.bbcgoodfood.com/recipes/italian-stuffed-chicken,Italian Stuffed Chicken,332,18.0g,9.0g,5.0g,4.0g,0.0g,37g,1.17g,"2 tbsp chopped olives or sundried tomatoes - whatever you've got, 1 garlic clove crushed, ½ tsp dried mixed herbs, 200g tub full-fat soft cheese, 4 plump boneless, skinless chicken breasts, 4 ripe tomatoes sliced, olive oil for drizzling"
https://www.bbcgoodfood.com/recipes/lamb-meatballs-green-tahini-tabbouleh,Lamb Meatballs Green Tahini Tabbouleh,502,23.0g,5.0g,46.0g,9.0g,9.0g,24g,0.92g,"2 tbsp tahini, 2 tbsp fat-free yogurt, ½ small bunch of parsley, 1 lemon juiced, ½ small garlic clove, ½ tbsp rapeseed oil, 10-12 ready-made lean lamb meatballs, 2 x 250g pouches mixed grains, 4 cooked beetroots chopped, 2 spring onions sliced, 200g baby tomatoes halved, 50g pitted black olives halved, 1 cucumber peeled and cubed, ½ tbsp za’atar"
https://www.bbcgoodfood.com/recipes/mushroom-risotto,Mushroom Risotto,445,17.0g,7.7g,63.0g,3.0g,4.0g,15g,1.45g,"50g dried porcini mushrooms, 1 vegetable stock cube, 2 tbsp olive oil, 1 onion finely chopped, 2 garlic cloves finely chopped, 250g pack chestnut mushrooms chopped, 300g risotto rice such as arborio, 1 x 175ml glass white wine, 25g butter, handful parsley leaves, chopped, 50g parmesan or Grana Padano, freshly grated"
https://www.bbcgoodfood.com/recipes/mustard-stuffed-chicken,Mustard Stuffed Chicken,429,26.0g,12.0g,0.3g,0.2g,0.4g,49g,2.61g,"125g ball mozzarella torn into small pieces, 50g strong cheddar grated, 1 tbsp wholegrain mustard, 4 skinless boneless chicken breast fillets, 8 smoked streaky bacon rashers"
https://www.bbcgoodfood.com/recipes/nutty-chicken-curry,Nutty Chicken Curry,358,18.9g,6.0g,4.0g,3.0g,1.0g,43g,0.66g,"1 large red chilli deseeded, ½ a finger-length piece fresh root ginger roughly chopped, 1 fat garlic clove, small bunch coriander stalks roughly chopped, 1 tbsp sunflower oil, 4 skinless chicken breasts cut into chunks, 5 tbsp peanut butter, 150ml chicken stock, 200g tub Greek yogurt"
https://www.bbcgoodfood.com/recipes/one-pan-chicken-couscous,One Pan Chicken Couscous,281,6.0g,1.0g,41.0g,9.0g,3.0g,20g,0.48g,"1 tbsp olive oil, 1 onion thinly sliced, 200g chicken breast diced, good chunk fresh root ginger, 1-2 tbsp harissa paste plus extra to serve, 10 dried apricots, 220g can chickpeas rinsed and drained, 200g couscous, 200ml hot chicken stock, handful coriander chopped, to serve"
https://www.bbcgoodfood.com/recipes/one-pot-mushroom-potato-curry,One Pot Mushroom Potato Curry,212,15.0g,9.0g,15.0g,5.0g,3.0g,5g,0.71g,"1 tbsp oil, 1 onion roughly chopped, 1 large potato chopped into small chunks, 1 aubergine trimmed and chopped into chunks, 250g button mushrooms, 2-4 tbsp curry paste (depending on how hot you like it), 150ml vegetable stock, 400ml can reduced-fat coconut milk, chopped coriander to serve"
https://www.bbcgoodfood.com/recipes/oriental-egg-fried-rice,Oriental Egg Fried Rice,0,0.0g,0.0g,0.0g,0.0g,0.0g,0g,0.0g,"a mugful of American long grain rice, a cupful of frozen peas, 2 tbsp sunflower oil, 2 back bacon rashers, roughly chopped, 1 small red pepper chopped, 2 garlic cloves thinly sliced, 2 large eggs, 1 heaped tsp Chinese five-spice powder, 2 spring onions shredded"
https://www.bbcgoodfood.com/recipes/orzo-tomato-soup,Orzo Tomato Soup,349,12.0g,2.0g,45.0g,9.0g,8.0g,12g,0.6g,"2 tbsp olive oil, 1 onion chopped, 2 celery sticks chopped, 2 garlic cloves crushed, 1 tbsp tomato purée, 400g can chopped tomatoes, 400g can chickpeas, 150g orzo or other small pasta shapes, 700ml vegetable stock, 2 tbsp basil pesto, crusty bread to serve"
https://www.bbcgoodfood.com/recipes/pasta-salmon-peas,Pasta Salmon Peas,463,19.0g,6.0g,44.0g,5.0g,7.0g,25g,0.2g,"240g wholewheat fusilli, knob of butter, 1 large shallot finely chopped, 140g Birds Eye Frozen Garden Peas, 2 skinless salmon fillets, cut into chunks, 140g low-fat crème fraîche, ½ low-salt vegetable stock cube, small bunch of chives snipped"
https://www.bbcgoodfood.com/recipes/peanut-butter-noodles-with-tofu-veg,Peanut Butter Noodles With Tofu Veg,554,27.0g,5.0g,32.0g,6.0g,16.0g,37g,1.03g,"320g edamame beans frozen or fresh, 1 tbsp sesame oil, 4 garlic cloves sliced, 320g green beans sliced, 200g kale or cavolo nero, stalks removed, thinly sliced, 450g firm tofu cubed, 150g wholemeal noodles, spring onions and red chilli, sliced, to serve (optional), 2 tbsp black and white sesame seeds to serve"
https://www.bbcgoodfood.com/recipes/pork-apple-burgers,Pork Apple Burgers,364,18.0g,5.0g,32.0g,8.0g,5.0g,15g,1.5g,"300g sausagemeat, 4 wholemeal burger buns, 4 tsp onion marmalade, 2 apples cored and thinly sliced, 2 handfuls rocket, 2 tsp mayonnaise, a little English mustard (optional), sweet potato wedges to serve (optional)"
https://www.bbcgoodfood.com/recipes/potato-pea-egg-curry-rotis,Potato Pea Egg Curry Rotis,462,16.0g,5.0g,58.0g,12.0g,7.0g,19g,1.9g,"1 tbsp oil, 2 tbsp mild curry paste, 400g can chopped tomatoes, 2 potatoes cut into small chunks, 200g peas, 3 eggs hard-boiled, pack rotis warmed through, 150g tub natural yogurt to serve"
https://www.bbcgoodfood.com/recipes/prawn-salmon-burgers-spicy-mayo,Prawn Salmon Burgers Spicy Mayo,504,36.0g,5.0g,4.0g,4.0g,3.0g,39g,0.7g,"180g pack peeled raw prawns roughly chopped, 4 skinless salmon fillets, chopped into small chunks, 3 spring onions roughly chopped, 1 lemon zested and juiced, small pack coriander, 60g mayonnaise or Greek yogurt, 4 tsp chilli sauce (we used sriracha), 2 Little Gem lettuces shredded, 1 cucumber peeled into ribbons, 1 tbsp olive oil, 4 seeded burger buns toasted, to serve"
https://www.bbcgoodfood.com/recipes/quick-chicken-chasseur,Quick Chicken Chasseur,298,12.0g,4.0g,6.0g,2.0g,2.0g,43g,2.65g,"8 rashers streaky bacon chopped into large pieces, 4 chicken breasts cut into large chunks, 200g pack baby button mushroom, 1 tbsp plain flour, 400g tin chopped tomato with garlic, 1 beef stock cube, dash Worcestershire sauce, handful of parsley chopped"
https://www.bbcgoodfood.com/recipes/quick-easy-korean-pork,Quick Easy Korean Pork,456,25.0g,7.0g,32.0g,28.0g,5.0g,25g,2.3g,"500g good-quality pork belly skin and ribs removed (you can ask your butcher to do this), carved into thin slices, 1 large lettuce such as Little Gem or iceberg, leaves washed and separated, cooked white short-grain rice, to serve"
https://www.bbcgoodfood.com/recipes/quick-lamb-biryani,Quick Lamb Biryani,387,12.0g,5.0g,41.0g,1.0g,1.0g,32g,1.05g,"1 tbsp balti curry paste, 500g lean lamb leg steak or neck fillet, cubed, 200g basmati rice rinsed in cold water, 400ml lamb or chicken stock, 200g spinach"
